JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000005156	13246.294	11814.051	9096.071	11165.435	11003.663	11209.579	13401.24	20155.732	13824.418	10662.645	14220.894	13010.931	11429.281	10450.383	8597.506	10026.733	10655.753	11070.278	10088.374	8840.729	11314.148	1145.394	989.357	1141.515	1282.969	1161.594	1062.272	1260.405	1112.906	1279.006	2620.035	1676.999	1871.679
ENSG00000005175	5656.477	6355.966	5454.032	4423.804	6494.189	6277.084	7812.661	9832.585	6980.515	5397.414	6435.422	6589.712	4822.74	4782.662	4471.334	5698.93	5109.04	5707.982	4794.123	4035.907	5246.871	899.511	1051.001	1338.897	1275.303	874	845.192	1639.152	976.998	1794.217	2968.411	2404.324	2274.674
ENSG00000005187	1144.222	501.999	155.001	1109.142	645	693.001	467.001	1660.88	1241.739	490.757	1137.019	588.001	784.009	1004.345	269.999	244	355.005	310	510	332.317	502.005	310.702	523.521	733.976	287.813	192.143	123.166	240.831	417.673	41	19	4	1
ENSG00000005189	639.999	704.004	391	497.999	692	752.015	643.012	894.23	670.151	619.009	1053.572	538.999	671.999	631.771	487.031	380.001	425.002	612	575	491.067	659.002	305.001	240.999	317.117	368.631	332.001	242.001	327	369.999	129.999	920.999	300	520.999
ENSG00000005194	5179.307	6352.909	5834	4378.048	5975.853	6481.766	8661.585	9474.185	7524.245	6921.64	6127.018	6905.33	6035.568	5557.058	6484.163	5756.546	6401.507	7062.465	5015.935	5284.898	6231.215	614.018	973.999	1066.999	1028.475	775.998	773.641	1296.69	782.34	1979.787	2393.015	2299.362	2167.629
ENSG00000005206	4723.16	5068.55	5604.017	4234.332	5848.246	5495.821	5231.262	7853.28	5366.161	5066.616	6903.676	5676.34	3823.305	4595.138	3996.483	3481.96	3335.578	3489.059	4343.362	4506.623	4978.305	859.322	1113.017	1133.006	1244.704	1015.752	1620.007	1273.007	1106.781	2152.157	3361.075	3044.268	2320.202
ENSG00000005238	812.141	1156.005	838.305	726.414	703.02	914	557.001	862	727	520.001	1034.405	751.999	619.999	684.001	683.999	726.72	806.062	833	549.999	582.001	723	384	358.626	429.999	417	174.001	230.999	250.064	259.247	2132.625	6995.46	6840.084	5250.808
ENSG00000005243	1	5	1	5	6	1	10	7	5	3	3	6	9	9	2	8	10	8	3	1	2	83	49.999	57	100	61.001	82.001	35	34	3715.376	8204.623	13243.104	8280.786
ENSG00000005249	4598.615	5439.041	4534.986	3585.152	4320.032	4189.573	4130.148	6614.622	5031.133	5582.21	4699.78	4907.827	6457.692	6931.71	6673.476	6358.04	6912.915	6261.85	5186.521	4824.222	6223.909	7	8	9	9	25	3	7	14	801.594	2685.401	672.001	301
ENSG00000005302	1730.012	1878.294	1763	1428.081	1634.405	1861.028	1520.216	2687.017	1963.023	1252.998	1976.67	1671.317	1555.002	1688.06	1294.39	1541.508	1538.184	1547.613	1364.298	1303.029	1646.005	4202.135	3093.447	4758.813	3783.157	1513.855	2773.039	2435.404	3124.245	1917.057	3810.131	2799.356	2666.729
