L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000013375	1129.312	1059.28	927.638	1793.643	797.01	1025.223	879.537	860.728
ENSG00000013392	332.025	290.155	251.062	475	293.042	281	208	256
ENSG00000013441	2145.164	2364.991	2202.885	2636.357	1227	2572.573	1648.07	1871.522
ENSG00000013503	171	264	310	369	238.021	149.09	396	261
ENSG00000013523	767	703.007	673.002	768.88	1364.23	736.013	706.06	726.258
ENSG00000013561	760.852	759.641	897.148	862.921	658.271	617.945	689.805	733.206
ENSG00000013563	523.65	660.92	594.685	705.523	545.009	478.707	553.334	484.686
ENSG00000013573	1568.113	1579.275	1816.575	2193.138	1816.121	2181.056	3195.627	1972.958
ENSG00000013583	4	16	33	64	6	3	41	43
ENSG00000013588	116	40.874	79.404	99.045	1.237	7.128	17	29.657
ENSG00000013619	0	3	21.999	3	2	2	9.001	1
ENSG00000013725	104.999	186	76	131.999	32	164	86.002	41.999
ENSG00000013810	2405.931	2715.42	3296.708	3508.47	2560.803	2824.607	5428.859	3445.014
ENSG00000014123	2043.634	1627.375	1876.035	2375	1267	1380	1622.078	1702.03
ENSG00000014138	1041.378	1339.021	1521.425	1730.52	1467.814	1208.408	2694.997	1462.597
ENSG00000014164	548.006	541.263	559.633	713	388	478	617.113	521.201
ENSG00000014216	3384.627	3841.817	4219.444	3772.508	2814.859	3207.412	4218.216	3755.442
ENSG00000014257	13	39	47	21	2	3	11	216
ENSG00000014641	4493.994	5618.177	5846.459	5220.284	5789.266	4537.897	7551.921	6944.429
ENSG00000014824	1724.413	1669.029	2368.813	2043.375	1594.604	1418.137	1980.743	2027.344
ENSG00000014914	56.001	44	30	16	6	18	36.001	24.999
